,stop_name,stop_lat,stop_lon
1037,Bennemühlen,52.580994,9.726836
1038,Bennewitz,51.355927,12.70843
1040,Bennigsen,52.240734,9.666376
1042,Benningen(Neckar),48.943615,9.244504
1044,Bennungen,51.464005,11.122989
1046,Benshausen,50.65701,10.602208
1047,Bensheim,49.681328,8.616717
1051,Bensheim-Auerbach,49.701557,8.613366
1054,Bentwisch,54.11719,12.210506
1056,Beratzhausen,49.092846,11.807853
1060,Berbisdorf,51.186195,13.725065
1061,Berbisdorf Anbau,51.19777,13.72739
1062,Berchtesgaden Hbf,47.626686,12.999058
1065,Berg(Pfalz),48.980675,8.212761
1066,Berga(Elster),50.74719,12.158865
1068,Berga-Kelbra,51.45206,11.014813
1070,Bergen auf Rügen,54.4205,13.417821
1073,Bergen(Oberbay),47.82527,12.592846
1075,Bergenweiler,48.576298,10.272879
1076,Berghausen(Pfalz),49.29545,8.406173
1078,Berghausen(b Wittgenstein),51.033035,8.35001
1079,Bergheim(Erft),50.951706,6.646302
1081,Bergisch Gladbach,50.991463,7.124553
1082,Bergsdorf,52.936565,13.260794
1083,"Bergsdorf, Bahnhof",52.935734,13.261636
1084,Bergtheim,49.8993,10.076473
1086,Bergwitz,51.803696,12.576213
1088,Beringen Bad Bf,47.694897,8.574616
1090,Beringerfeld,47.69531,8.592771
1092,Beringhausen,51.407772,8.751414
1093,Beringstedt,54.113667,9.537501
1094,Berkenbrück,52.35719,14.165217
1096,Berlin Alexanderplatz,52.52148,13.410961
1098,Berlin Friedrichstraße,52.520374,13.387206
1102,Berlin Gesundbrunnen,52.54896,13.388513
1109,Berlin Hbf,52.525593,13.369545
1112,Berlin Hbf (tief),52.525593,13.369545
1121,Berlin Jungfernheide,52.530277,13.299437
1123,Berlin Ostbahnhof,52.510487,13.434681
1128,Berlin Ostkreuz,52.503036,13.469105
1135,Berlin Potsdamer Platz,52.50938,13.375988
1140,Berlin Südkreuz,52.475048,13.365319
1147,Berlin Südkreuz (Ringbahn),52.476215,13.365377
1149,Berlin Südkreuz (Vorortbahn),52.47614,13.365066
1151,Berlin Wannsee,52.42097,13.179528
1153,Berlin Zoologischer Garten,52.50728,13.331992
1157,Berlin-Charlottenburg,52.50421,13.30233
1161,Berlin-Hohenschönhausen,52.566,13.512422
1163,Berlin-Karow,52.614883,13.469204
1164,Berlin-Lichtenberg,52.510136,13.496693
1171,Berlin-Lichterfelde Ost,52.42945,13.328556
1173,Berlin-Mahlsdorf,52.512108,13.611417
1174,Berlin-Spandau,52.53465,13.196898
1179,Berlin-Staaken,52.537693,13.141367
1181,Bermatingen-Ahausen,47.730488,9.345157
1182,Bernau a Chiemsee,47.816483,12.380957
1184,Bernau(b Berlin),52.675568,13.592641
1187,Bernburg (Saale) Keßlerturm (Parkeisenbahn),51.79229,11.716682
1188,Bernburg (Saale) Paradies (Parkeisenbahn),51.790825,11.711563
1189,Bernburg (Saale) Rosenhag (Parkeisenbahn),51.797768,11.731336
1190,Bernburg (Saale) Sportforum (Parkeisenbahn),51.794815,11.720995
